region,not_working,self_any,self_agri,self_wild_prod,self_food_process,self_craft,self_shop_taxi,others_any,others_agri,agri_selfother,missing,num_women,num_not_working
 Dodoma,42.2,51.1,41.6,3.8,26.0,4.1,1.6,14.3,7.0,0.6,0.0,355,150
 Arusha,54.2,37.1,26.4,2.6,3.8,1.9,1.9,18.3,4.5,1.1,0.2,589,319
 Kilimanjaro,46.3,41.0,33.6,0.8,3.8,2.3,1.3,28.5,14.8,2.3,0.5,390,181
 Tanga,56.3,39.4,25.9,0.5,7.8,5.3,0.3,10.8,3.3,1.3,0.0,464,261
 Morogoro,41.9,50.1,42.2,2.7,21.5,1.1,0.8,15.9,9.5,0.5,0.3,408,171
 Coast,58.5,40.1,21.7,1.4,15.5,4.3,0.4,5.8,1.4,1.1,0.0,159,93
 Dar es Salaam,57.2,30.0,3.8,1.4,17.3,2.4,2.5,27.2,2.2,0.3,0.0,646,370
 Lindi,53.8,42.5,30.8,5.7,19.2,4.1,0.3,14.5,9.4,5.3,0.0,187,101
 Mtwara,72.8,24.5,18.4,2.9,9.3,1.8,0.2,15.2,10.2,8.2,0.0,355,258
 Ruvuma,49.6,45.7,36.9,1.7,29.2,1.9,1.3,18.9,12.0,7.7,0.0,305,151
 lringa,31.9,59.6,56.0,1.5,42.9,5.9,1.8,23.1,11.1,5.4,0.0,466,149
 Mbeya,22.6,72.6,57.0,2.2,32.8,2.9,0.6,11.5,8.9,1.9,0.0,473,107
 Singida,19.5,74.4,64.5,3.0,40.9,9.4,1.8,15.2,9.6,2.5,0.3,283,55
 Tabora,54.5,41.4,33.3,1.0,21.7,4.0,2.0,13.1,9.1,5.1,0.0,225,123
 Rukwa,34.3,64.3,59.8,1.1,32.3,1.1,0.8,12.2,10.8,8.5,0.0,242,83
 Kigoma,55.3,43.9,37.6,1.6,11.4,2.5,1.1,6.8,5.2,4.1,0.0,351,194
 Shinyanga,29.6,66.7,63.7,0.8,6.4,2.9,1.6,8.3,3.5,0.8,0.0,686,203
 Kagera,46.1,52.1,44.7,3.5,14.4,3.2,1.1,8.5,3.2,3.2,0.4,467,215
 Mwanza,48.1,47.7,43.5,0.0,12.3,2.9,1.0,9.0,2.9,0.3,0.0,573,276
